"","X","Ess","Length","PSum","fEss"
"321",321,1.75,20,0.835636063651908,0.815662748295665
"322",322,1.75,15,0.835550376179973,0.815005283169337
"323",323,1.75,10,0.834593315440572,0.81369035291668
"324",324,1.75,5,0.823116948692833,0.809745562158711
"325",325,1.8,45,0.841348248783759,0.82282743146192
"326",326,1.8,40,0.841348248294856,0.822717796665941
"327",327,1.8,35,0.841348242872848,0.822576837642539
"328",328,1.8,30,0.841348182741828,0.822388892278004
"329",329,1.8,25,0.841347515875081,0.822125768767654
"330",330,1.8,20,0.841340119776946,0.821731083502129
"331",331,1.8,15,0.841258042572691,0.821073274726254
"332",332,1.8,10,0.840341188617049,0.819757657174505
"333",333,1.8,5,0.829331552566577,0.815810804519258
"334",334,1.85,45,0.846761365076831,0.828651410263588
"335",335,1.85,40,0.846761364608895,0.828541770680726
"336",336,1.85,35,0.846761359419404,0.828400805502759
"337",337,1.85,30,0.846761301867047,0.828212851932138
"338",338,1.85,25,0.846760663598205,0.827949716933267
"339",339,1.85,20,0.84675358466695,0.827555014434961
"340",340,1.85,15,0.846675026281919,0.826897176937785
"341",341,1.85,10,0.845797367719424,0.825581501943433
"342",342,1.85,5,0.835243624849372,0.821634476960376
"343",343,1.9,45,0.851905150044415,0.834244678292553
"344",344,1.9,40,0.851905149596873,0.834135083991245
"345",345,1.9,35,0.851905144633557,0.833994177032419
"346",346,1.9,30,0.851905089589517,0.833806301087319
"347",347,1.9,25,0.851904479138423,0.833543274764179
"348",348,1.9,20,0.851897708722116,0.833148735279468
"349",349,1.9,15,0.851822573220871,0.832491169471617
"350",350,1.9,10,0.850983048137006,0.831176037855915
"351",351,1.9,5,0.840873704956523,0.827230643008809
"352",352,1.95,45,0.856799098323467,0.839620338857857
"353",353,1.95,40,0.856799097895727,0.839510837661636
"354",354,1.95,35,0.856799093152016,0.839370050409351
"355",355,1.95,30,0.85679904054343,0.839182334072971
"356",356,1.95,25,0.856798457102026,0.838919531202039
"357",357,1.95,20,0.856791986239237,0.838525326895642
"358",358,1.95,15,0.856720174248352,0.837868319718312
"359",359,1.95,10,0.855917681901322,0.836554305363653
"360",360,1.95,5,0.84624072640516,0.832612262299676
"361",361,2,45,0.861461092561145,0.844790486545365
"362",362,2,40,0.861461092152599,0.844681124189695
"363",363,2,35,0.861461087621757,0.844540515446691
"364",364,2,30,0.861461037373924,0.844353037122686
"365",365,2,25,0.861460480113772,0.844090567469079
