"","Ess","Sum10","Sum25","Sum50","Sum75","Sum100","Sum125","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum600","Sum750","Sum1000","Sum1250","Sum1500","Sum2000"
"51",2.6,1.02603249354152,1.02611062108415,1.0261120637901,1.02611212095031,1.02611212886979,1.0261121307426,1.02611213134188,1.02611213167936,1.02611213175857,1.02611213178379,1.02611213179794,1.02611213180125,1.0261121318023,1.02611213180281,1.02611213180303,1.02611213180307,1.02611213180309,1.0261121318031
"52",2.65,1.02991799607508,1.02998936331109,1.02999062658087,1.02999067507898,1.02999068167533,1.02999068321476,1.02999068370228,1.02999068397389,1.02999068403678,1.02999068405661,1.02999068406761,1.02999068407015,1.02999068407095,1.02999068407133,1.02999068407149,1.02999068407153,1.02999068407153,1.02999068407154
"53",2.7,1.03357715458444,1.03364232842695,1.03364343425191,1.03364347538709,1.03364348087951,1.03364348214445,1.03364348254091,1.03364348275943,1.03364348280936,1.03364348282494,1.03364348283349,1.03364348283544,1.03364348283604,1.03364348283633,1.03364348283645,1.03364348283647,1.03364348283648,1.03364348283649
"54",2.75,1.03701985041959,1.03707935258727,1.03708032031709,1.03708035519618,1.03708035976792,1.03708036080697,1.03708036112928,1.03708036130503,1.03708036134466,1.03708036135689,1.03708036136353,1.03708036136503,1.03708036136549,1.0370803613657,1.03708036136579,1.03708036136581,1.03708036136581,1.03708036136582
"55",2.8,1.04025555534968,1.04030986565323,1.04031071230431,1.04031074186983,1.04031074567401,1.04031074652724,1.04031074678918,1.04031074693048,1.04031074696192,1.04031074697152,1.04031074697668,1.04031074697783,1.04031074697818,1.04031074697834,1.0403107469784,1.04031074697842,1.04031074697842,1.04031074697842
"56",2.85,1.04329334931819,1.04334290875291,1.04334364928229,1.04334367433641,1.04334367750095,1.04334367820137,1.04334367841418,1.04334367852775,1.04334367855269,1.04334367856023,1.04334367856424,1.04334367856511,1.04334367856538,1.0433436785655,1.04334367856555,1.04334367856556,1.04334367856556,1.04334367856557
"57",2.9,1.04614193733708,1.04618715098594,1.04618779853427,1.04618781975946,1.04618782239113,1.04618782296594,1.04618782313878,1.04618782323004,1.04618782324981,1.04618782325573,1.04618782325884,1.04618782325951,1.04618782325971,1.0461878232598,1.04618782325983,1.04618782325984,1.04618782325984,1.04618782325984
"58",2.95,1.04880966556841,1.04885090532124,1.04885147142824,1.04885148940479,1.04885149159271,1.0488514920643,1.04885149220464,1.04885149227795,1.04885149229362,1.04885149229826,1.04885149230067,1.04885149230119,1.04885149230134,1.04885149230141,1.04885149230143,1.04885149230144,1.04885149230144,1.04885149230144
"59",3,1.05130453663902,1.05134214373434,1.05134263852946,1.05134265375066,1.05134265556915,1.05134265595595,1.05134265606987,1.05134265612874,1.05134265614116,1.0513426561448,1.05134265614667,1.05134265614707,1.05134265614718,1.05134265614724,1.05134265614726,1.05134265614726,1.05134265614726,1.05134265614726
"60",3.2,1.05970427627403,1.05973023176083,1.05973051990772,1.05973052771263,1.05973052857827,1.05973052875286,1.05973052880219,1.05973052882662,1.0597305288315,1.05973052883287,1.05973052883355,1.05973052883369,1.05973052883372,1.05973052883374,1.05973052883375,1.05973052883375,1.05973052883375,1.05973052883375
